Case ID,Case Number,Judge,Date Filed,Date Reopened,Date Terminated,NOS,DateAgg,Group,DE SeqNum,de_type,DocNum,DP Type,DP SubType,DP SeqNum,Date Filed
41651,3:18-cv-00281-bbc                       ,bbc,2018-04-19,,2018-07-16,440,2018-04-19,Civil Rights,10,cmp                      ,1,cmp                      ,cmp     ,11,2018-04-19
41669,3:18-cv-00289-jdp                       ,jdp,2018-04-20,,2019-10-31,550,2018-04-20,Prisoner Petitions,12,cmp                      ,1,cmp                      ,cmp     ,13,2018-04-20
41679,3:18-cv-00296-jdp                       ,jdp,2018-04-23,,2018-05-21,550,2018-04-23,Prisoner Petitions,14,cmp                      ,1,cmp                      ,cmp     ,15,2018-04-23
41695,3:18-cv-00302-wmc                       ,wmc,2018-04-25,,2021-11-03,550,2018-04-25,Prisoner Petitions,8,cmp                      ,1,cmp                      ,cmp     ,9,2018-04-25
41696,3:18-cv-00303-wmc                       ,wmc,2018-04-25,,2020-09-18,550,2018-04-25,Prisoner Petitions,16,cmp                      ,1,cmp                      ,cmp     ,17,2018-04-25
41697,3:18-cv-00304-wmc                       ,wmc,2018-04-25,2019-12-02,2021-07-02,550,2019-12-02,Prisoner Petitions,12,cmp                      ,1,cmp                      ,cmp     ,13,2018-04-25
41709,3:18-cv-00308-bbc                       ,bbc,2018-04-27,,2018-05-17,446,2018-04-27,Civil Rights,4,cmp                      ,1,cmp                      ,cmp     ,5,2018-02-26
41720,3:18-cv-00313-jdp                       ,jdp,2018-04-30,,2019-03-05,555,2018-04-30,Prisoner Petitions,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-04-30
41726,3:18-cv-00316-wmc                       ,wmc,2018-05-01,,2020-07-16,555,2018-05-01,Prisoner Petitions,6,cmp                      ,1,cmp                      ,cmp     ,7,2018-05-01
41730,3:18-cv-00318-wmc                       ,wmc,2018-05-02,,2019-04-24,830,2018-05-02,Property Rights,3,cmp                      ,1,cmp                      ,cmp     ,5,2015-09-25
41731,3:18-cv-00319-wmc                       ,wmc,2018-05-02,,2019-05-14,550,2018-05-02,Prisoner Petitions,31,cmp                      ,1,cmp                      ,cmp     ,32,2018-05-02
41736,3:18-cv-00320-bbc                       ,bbc,2018-05-03,,2018-06-27,442,2018-05-03,Civil Rights,5,cmp                      ,1,cmp                      ,cmp     ,6,2018-05-03
41737,3:18-cv-00321-wmc                       ,wmc,2018-05-03,,2021-10-21,440,2018-05-03,Civil Rights,13,cmp                      ,1,cmp                      ,cmp     ,14,2018-05-03
41738,3:18-cv-00322-jdp                       ,jdp,2018-05-03,,2019-03-05,555,2018-05-03,Prisoner Petitions,7,cmp                      ,1,cmp                      ,cmp     ,8,2018-05-03
41747,3:18-cv-00326-slc                       ,slc,2018-05-04,,2019-03-20,864,2018-05-04,Social Security,9,cmp                      ,1,cmp                      ,cmp     ,10,2018-05-04
